type,document_id,invention_title,ipc_main,gold_mno,candidate_mno,anchor_p,weakest_model_p,lift_to_gold,same_lno
missing_label(누락 후보),kr20100033126a,,,EG03,EG04,0.953,0.651,43.06,1
missing_label(누락 후보),jp2012039337b1,,,ND13,ND12,0.991,0.864,41.48,1
missing_label(누락 후보),kr20140183096a,,,ND13,ND12,0.957,0.848,41.48,1
missing_label(누락 후보),kr20110007772b1,,,ND04,ND05,0.989,0.65,40.58,1
missing_label(누락 후보),kr20190165690b1,,,ND05 ND06,ND04,0.975,0.638,40.58,1
missing_label(누락 후보),kr20180106708b1,,,EH01 EH08 EH09 EH10,ND04,0.924,0.673,37.59,0
missing_label(누락 후보),jp2006079600b2,,,EA12,EA13,0.911,0.786,36.95,1
missing_label(누락 후보),kr20100064439b1,,,EC07,EC09,0.905,0.511,36.65,1
missing_label(누락 후보),kr20147006273b1,,,EC07,EC09,0.952,0.564,36.65,1
missing_label(누락 후보),kr20040035621b1,,,EC09,EC07,0.95,0.783,36.65,1
missing_label(누락 후보),kr20210125656b1,,,EC09,EC07,0.967,0.787,36.65,1
missing_label(누락 후보),kr20200133582a,,,EH08 EH09,EH13,0.995,0.87,36.05,1
missing_label(누락 후보),kr20180103845b1,,,EA12,ND13,0.962,0.566,35.36,0
missing_label(누락 후보),jp2021503136a,,,ND13,EA12,0.96,0.884,35.36,0
missing_label(누락 후보),kr20207013599a,,,ND13 ND14,EA12,0.967,0.595,35.36,0
missing_label(누락 후보),kr20200189134b1,,,ND13,EA12,0.914,0.807,35.36,0
missing_label(누락 후보),kr20180151669b1,,,EA14,ND07,0.941,0.694,35.16,0
missing_label(누락 후보),kr20040114886b1,,,EG04,EG01,0.95,0.82,35.16,1
missing_label(누락 후보),kr20200029528b1,,,ND07,EA14,0.962,0.6,35.16,0
missing_label(누락 후보),kr20090040990a,,,LA07,LA10,0.943,0.645,34.18,1
missing_label(누락 후보),kr20190099303a,,,EC10 EH08,EH13,0.989,0.899,34.14,1
missing_label(누락 후보),kr20050088011b1,,,EA10,EH06,0.953,0.573,31.35,0
missing_label(누락 후보),kr20110118063b1,,,EA10,EH06,0.959,0.656,31.35,0
missing_label(누락 후보),kr20190171379b1,,,EA10 EI08,EH06,0.947,0.888,31.35,0
missing_label(누락 후보),kr20190111679a,,,EH06,EA10,0.997,0.886,31.35,0
missing_label(누락 후보),kr20140108489a,,,ND08,ND09,0.912,0.657,31.17,1
missing_label(누락 후보),kr20120071818a,,,EA10,EI08,0.923,0.828,30.95,0
missing_label(누락 후보),kr20150064973a,,,EA10,EI08,0.982,0.824,30.95,0
missing_label(누락 후보),kr20200134039a,,,EA10 EH06,EI08,0.909,0.668,30.95,0
missing_label(누락 후보),kr20140067764b1,,,EA13 EE05 EE11 EI05 EI08,EA10,0.973,0.524,30.95,0
missing_label(누락 후보),kr20190145149b1,,,EI08,EA10,0.967,0.639,30.95,0
missing_label(누락 후보),kr20217034469a,,,EI08,EA10,0.996,0.735,30.95,0
missing_label(누락 후보),kr20140109242b1,,,LC02,LC08,0.91,0.798,29.73,1
missing_label(누락 후보),kr20037015088b1,,,ED06,EE08,0.964,0.888,29.15,0
missing_label(누락 후보),kr20060002450b1,,,ED06,EE08,0.93,0.855,29.15,0
missing_label(누락 후보),kr20060115661b1,,,ED06,EE08,0.977,0.83,29.15,0
missing_label(누락 후보),kr20180138011b1,,,ED06,EE08,0.985,0.946,29.15,0
missing_label(누락 후보),kr20150018226a,,,NB08,ND14,0.915,0.777,29.11,0
missing_label(누락 후보),kr20120005693a,,,EG06 EG09,EG02,0.953,0.58,28.77,1
missing_label(누락 후보),kr20147034962b1,,,EG09,EG02,0.953,0.556,28.77,1
missing_label(누락 후보),kr20070036163b1,,,ND08,EH06,0.959,0.506,28.42,0
missing_label(누락 후보),kr20220018040a,,,ND08,EH06,0.966,0.844,28.42,0
missing_label(누락 후보),kr20170025625b1,,,ND04,ND06,0.967,0.566,28.35,1
missing_label(누락 후보),kr20170113868a,,,EH13,EH10,0.94,0.526,28.31,1
missing_label(누락 후보),kr20070138713b1,,,LA09 LC13,LC07,0.925,0.853,28.26,1
missing_label(누락 후보),kr20190046879a,,,LC07,LC13,0.953,0.583,28.26,1
missing_label(누락 후보),kr20190110859a,,,LC07,LC13,0.923,0.734,28.26,1
missing_label(누락 후보),kr20010000163b1,,,LC13,LC07,0.962,0.718,28.26,1
missing_label(누락 후보),kr20187021696a,,,LB03,LB04,0.985,0.81,27.86,1
missing_label(누락 후보),kr20087006717b1,,,LB04,LB03,0.979,0.73,27.86,1
missing_label(누락 후보),kr20107006622a,,,LB04,LB03,0.984,0.883,27.86,1
missing_label(누락 후보),kr20137027991a,,,LB04,LB03,0.997,0.861,27.86,1
missing_label(누락 후보),kr20090108351a,,,LB04,LB03,0.996,0.907,27.86,1
missing_label(누락 후보),kr20140165367b1,,,EG04 EG08 EG09,EG06,0.975,0.632,26.89,1
missing_label(누락 후보),kr20060022834a,,,LB17,LC11,0.934,0.663,26.17,0
missing_label(누락 후보),kr20090046758b1,,,LC11,LB17,0.972,0.757,26.17,0
missing_label(누락 후보),kr20100078768b1,,,LC11,LB17,0.994,0.887,26.17,0
missing_label(누락 후보),kr20150039140b1,,,LC11,LB17,0.973,0.731,26.17,0
missing_label(누락 후보),kr20150139748b1,,,LC11,LB17,0.988,0.761,26.17,0
missing_label(누락 후보),kr20160021078b1,,,LC11,LB17,0.991,0.794,26.17,0
missing_label(누락 후보),kr20060038904b1,,,LC11,LB17,0.995,0.768,26.17,0
missing_label(누락 후보),kr20140122942b1,,,ND12 ND13,ND14,0.993,0.842,25.95,1
missing_label(누락 후보),kr20010018822a,,,ND14,ND13,0.923,0.822,25.95,1
missing_label(누락 후보),jp2020026932a,,,ND14,ND13,0.916,0.668,25.95,1
missing_label(누락 후보),kr20010027094a,,,LA08,LA10,0.987,0.898,25.67,1
missing_label(누락 후보),kr20160158072b1,,,EA11,EI07,0.959,0.54,24.79,0
missing_label(누락 후보),kr20160174543b1,,,OA01 OA03,LA03,0.986,0.563,24.14,0
missing_label(누락 후보),jp2015163297a,,,EA12 ND13,EA15,0.911,0.607,24.01,1
missing_label(누락 후보),kr20090035135a,,,EA12,EA15,0.936,0.511,24.01,1
missing_label(누락 후보),kr20140112961a,,,LB13 LB15,ND10,0.946,0.891,23.31,0
missing_label(누락 후보),kr20140054096b1,,,ED03,EF04,0.99,0.918,23.07,0
missing_label(누락 후보),kr19980002003b1,,,ND13,EA13,0.98,0.787,22.22,0
missing_label(누락 후보),kr20120122055b1,,,ND13,EA13,0.976,0.885,22.22,0
missing_label(누락 후보),kr20130138711a,,,ND13,EA13,0.976,0.657,22.22,0
missing_label(누락 후보),kr20200189134b1,,,ND13,EA13,0.965,0.848,22.22,0
missing_label(누락 후보),kr19990066198b1,,,ND13,EA13,0.948,0.706,22.22,0
missing_label(누락 후보),kr20100039378b1,,,EG08,EG06,0.93,0.722,21.68,1
missing_label(누락 후보),kr20150087760b1,,,LB16,LB07,0.988,0.715,21.63,1
missing_label(누락 후보),kr20110127188b1,,,EH03,EI09,0.995,0.638,20.86,0
missing_label(누락 후보),kr20120154339b1,,,EH03,EI09,0.925,0.783,20.86,0
missing_label(누락 후보),kr20170126484b1,,,EA10,ND08,0.981,0.503,20.76,0
missing_label(누락 후보),kr20080097259b1,,,ED04,ED05,0.915,0.811,20.06,1
missing_label(누락 후보),kr20120005097b1,,,ED04,ED05,0.984,0.833,20.06,1
missing_label(누락 후보),kr20040115473b1,,,ED05 ED07,ED04,0.95,0.701,20.06,1
missing_label(누락 후보),kr20070025268b1,,,ED05,ED04,0.914,0.823,20.06,1
missing_label(누락 후보),kr20210110140a,,,EC10,EH13,0.983,0.843,20.0,0
missing_label(누락 후보),kr20200143053a,,,EH08 EH09 EH13,EC10,0.942,0.791,20.0,0
missing_label(누락 후보),kr20210147260a,,,EH08 EH13,EC10,0.933,0.694,20.0,0
missing_label(누락 후보),kr19990050555b1,,,EH08,EC10,0.966,0.923,18.72,0
missing_label(누락 후보),kr20210034629b1,,,EH08 EH15,EC10,0.986,0.768,18.72,0
missing_label(누락 후보),kr20107007932a,,,LC03,LC13,0.982,0.715,18.67,1
missing_label(누락 후보),kr20127031773b1,,,LC13,LC03,0.971,0.913,18.67,1
missing_label(누락 후보),kr20060028367b1,,,LC04,LC14,0.982,0.909,18.55,1
missing_label(누락 후보),kr20200029761b1,,,LC04,LC14,0.98,0.828,18.55,1
missing_label(누락 후보),kr20160044928b1,,,ED11,EE14,0.957,0.804,18.32,0
missing_label(누락 후보),kr20210094112b1,,,EA07 LB08 LB15,LB09,0.977,0.649,18.31,1
missing_label(누락 후보),kr20160160045a,,,LB09,LB08,0.978,0.807,18.31,1
missing_label(누락 후보),kr20120038521b1,,,EF05,ED03,0.937,0.839,18.26,0
missing_label(누락 후보),kr20187018876a,,,LA03,OA03,0.982,0.743,17.49,0
missing_label(누락 후보),kr20180110428b1,,,EB03,NC05,0.951,0.742,17.37,0
missing_label(누락 후보),kr20110113613b1,,,EA10,ND09,0.996,0.955,16.3,0
missing_label(누락 후보),kr20210184923b1,,,EA10,ND09,0.903,0.665,16.3,0
missing_label(누락 후보),kr20200157958a,,,OB01,OB02,0.979,0.97,15.93,1
missing_label(누락 후보),kr20137019340a,,,NB08,NB01,0.912,0.877,15.41,1
missing_label(누락 후보),kr20160099406b1,,,LA06 NB07,NB09,0.964,0.814,13.91,0
missing_label(누락 후보),kr20037014678a,,,NB09,LA06,0.984,0.856,13.91,0
missing_label(누락 후보),kr19920018992b1,,,EI01,EI05,0.998,0.942,13.85,1
missing_label(누락 후보),kr20117027649b1,,,EI01,EI05,0.994,0.952,13.85,1
missing_label(누락 후보),kr20200135778b1,,,EI01,EI05,0.914,0.84,13.85,1
missing_label(누락 후보),kr20200135779b1,,,EI01,EI05,0.983,0.829,13.85,1
missing_label(누락 후보),kr20210047115a,,,OA02,OA03,0.936,0.82,13.83,1
missing_label(누락 후보),kr20090064238a,,,OA03,OA02,0.971,0.887,13.83,1
missing_label(누락 후보),kr20167023611b1,,,EC04,LA08,0.986,0.779,13.23,0
missing_label(누락 후보),jp2002287492a,,,ND12,ND14,0.984,0.899,13.02,1
missing_label(누락 후보),jp2015102344b2,,,ND14,ND12,0.985,0.87,13.02,1
missing_label(누락 후보),kr20050122609b1,,,LB01 NC04,LC08,0.933,0.766,12.96,0
missing_label(누락 후보),kr20190039019a,,,LB18,LC12,0.962,0.875,12.91,0
missing_label(누락 후보),kr20200054785a,,,LB18,LC12,0.981,0.873,12.91,0
missing_label(누락 후보),kr20210102143a,,,LC12,LB18,0.972,0.817,12.91,0
missing_label(누락 후보),kr20157026597b1,,,NC04,EC01,0.943,0.568,12.44,0
missing_label(누락 후보),kr20190171954b1,,,OA02,OA04,0.994,0.784,12.32,1
missing_label(누락 후보),kr20200028537a,,,OA04,OA02,0.954,0.586,12.32,1
missing_label(누락 후보),jp2020008022a,,,ND14,EA12,0.989,0.765,12.25,0
missing_label(누락 후보),jp2021572475a,,,ND14,EA12,0.974,0.629,12.25,0
missing_label(누락 후보),kr20027000386a,,,NC10,LA07,0.902,0.878,12.06,0
missing_label(누락 후보),kr20200143053a,,,EH08 EH09 EH13,EH15,0.971,0.528,11.6,1
missing_label(누락 후보),kr20197001664a,,,EH06,ND10,0.915,0.719,11.59,0
missing_label(누락 후보),kr20200170503b1,,,EH06,ND10,0.994,0.563,11.59,0
missing_label(누락 후보),kr19980040337a,,,ND10,EH06,0.955,0.644,11.59,0
missing_label(누락 후보),kr20187030155b1,,,EH06,ND10,0.986,0.622,11.59,0
missing_label(누락 후보),kr20190136031a,,,LC14,LC06,0.934,0.847,11.25,1
missing_label(누락 후보),kr20140069605b1,,,EG06,EG03,0.91,0.509,11.02,1
missing_label(누락 후보),kr20090047289a,,,EA02,EI10,0.976,0.938,10.95,0
missing_label(누락 후보),kr20140084762b1,,,NC05,NC08,0.995,0.885,10.75,1
missing_label(누락 후보),kr20090120407a,,,LB13 ND09,ND10,0.965,0.923,10.34,0
missing_label(누락 후보),kr20007010336a,,,ND10,LB13,0.934,0.866,10.34,0
missing_label(누락 후보),kr20130112024b1,,,EG04 EG08 EG09 EI01 NB02,EG07,0.967,0.72,10.02,1
missing_label(누락 후보),kr20130150866a,,,EG09,EG07,0.984,0.911,10.02,1
missing_label(누락 후보),kr20180043505b1,,,EC11,EE14,0.981,0.757,9.58,0
missing_label(누락 후보),kr20140167717b1,,,EE14,EC11,0.959,0.932,9.58,0
missing_label(누락 후보),kr20180135401b1,,,EC05,NC07,0.907,0.652,9.21,0
missing_label(누락 후보),kr20137013821b1,,,NC07,EC05,0.943,0.735,9.21,0
missing_label(누락 후보),kr20120139505a,,,EB01,EB05,0.951,0.773,9.03,1
missing_label(누락 후보),kr20177033040b1,,,EB05,EB01,0.948,0.895,9.03,1
missing_label(누락 후보),kr20117013065b1,,,EB05,EB01,0.976,0.862,9.03,1
missing_label(누락 후보),jp2022517397a,,,EH10,ND07,0.98,0.765,8.96,0
missing_label(누락 후보),kr20210068491b1,,,EI03,EI04,0.977,0.661,8.93,1
missing_label(누락 후보),kr20160118213b1,,,EI04,EI03,0.99,0.902,8.93,1
missing_label(누락 후보),kr20200081932a,,,EH01,EH13,0.995,0.723,8.78,1
missing_label(누락 후보),kr20160072215b1,,,NC04 ND10,EH04,0.949,0.844,8.56,0
missing_label(누락 후보),kr20100002345b1,,,ND10,EH04,0.956,0.626,8.56,0
missing_label(누락 후보),kr20190031604b1,,,ND05,EI08,0.998,0.918,7.7,0
missing_label(누락 후보),kr20227021430a,,,LB04,LB02,0.94,0.824,7.42,1
missing_label(누락 후보),kr20210006443a,,,EI12,EI01,0.951,0.657,7.29,1
missing_label(누락 후보),kr20120033440b1,,,EH04,EI09,0.955,0.896,7.13,0
missing_label(누락 후보),kr20000050913b1,,,EH09,EH14,0.929,0.808,6.91,1
missing_label(누락 후보),kr20070038450b1,,,EH14,EH07,0.992,0.784,6.83,1
missing_label(누락 후보),kr20130062640b1,,,EH08,LC15,0.985,0.64,6.78,0
missing_label(누락 후보),kr20180063970a,,,ND03,ND01,0.946,0.634,6.78,1
missing_label(누락 후보),kr20090110718a,,,EH11,EH14,0.982,0.779,6.73,1
missing_label(누락 후보),kr20200115936b1,,,ND05,EH06,0.972,0.833,6.7,0
missing_label(누락 후보),kr20170105450a,,,LB05,LB09,0.957,0.548,6.69,1
missing_label(누락 후보),kr20060033645b1,,,EI02,LB11,0.99,0.956,6.62,0
missing_label(누락 후보),kr20200132065a,,,EI02,LB11,0.994,0.942,6.62,0
missing_label(누락 후보),kr20160038896a,,,LA10 LB06,LA09,0.963,0.921,6.41,0
missing_label(누락 후보),kr20210021230b1,,,EH08,LA11,0.962,0.609,6.39,0
missing_label(누락 후보),kr20210194049b1,,,EH08,LA11,0.996,0.91,6.39,0
missing_label(누락 후보),kr20090008100b1,,,EA09,EI06,0.984,0.906,6.29,0
missing_label(누락 후보),kr20130042769b1,,,EA09,EI06,0.966,0.719,6.29,0
missing_label(누락 후보),kr20220049457b1,,,EA09,EI06,0.999,0.965,6.29,0
missing_label(누락 후보),kr20180109579b1,,,EI01,EI03,0.998,0.924,6.25,1
missing_label(누락 후보),kr20200163529a,,,LA11,LC08,0.977,0.778,6.11,0
missing_label(누락 후보),kr20130057469a,,,NC09,EC02,0.983,0.847,6.05,0
missing_label(누락 후보),kr20190047562b1,,,NC09,EC02,0.976,0.843,6.05,0
missing_label(누락 후보),kr20010081226a,,,LB20,EI10,0.963,0.709,5.58,0
missing_label(누락 후보),kr20140098871b1,,,EH04 LB10,EI02,0.985,0.819,5.56,0
missing_label(누락 후보),jp2009183739a,,,EH03,LB05,0.969,0.872,5.48,0
missing_label(누락 후보),kr20130097550b1,,,LB05,EH03,0.988,0.741,5.48,0
missing_label(누락 후보),kr20180079108b1,,,ND14,ND02,0.994,0.845,5.32,1
missing_label(누락 후보),kr20200030132a,,,ND12,EA12,0.993,0.914,5.3,0
missing_label(누락 후보),kr20060069061b1,,,OA04,OB02,0.966,0.875,5.19,0
missing_label(누락 후보),jp2003288526b2,,,EH02,ND03,0.934,0.561,5.12,0
missing_label(누락 후보),kr20180040340a,,,EH02,ND03,0.971,0.944,5.12,0
missing_label(누락 후보),kr20070023563b1,,,EF02,ND01,0.991,0.912,5.08,0
missing_label(누락 후보),kr20180063452b1,,,EF02,ND01,0.996,0.896,5.08,0
missing_label(누락 후보),kr20130123635b1,,,ND09,ND01,0.923,0.611,5.04,1
missing_label(누락 후보),kr20200165145b1,,,OB01,LC05,0.996,0.966,4.95,0
missing_label(누락 후보),kr20127011590b1,,,LC04,EA05,0.923,0.772,4.94,0
missing_label(누락 후보),kr20150079254b1,,,LC14,EG07,0.987,0.839,4.77,0
missing_label(누락 후보),kr20050072891b1,,,EE06,EE04,0.997,0.946,4.74,1
missing_label(누락 후보),kr20180065349b1,,,EA14 ND07,EI11,0.93,0.888,4.53,0
missing_label(누락 후보),kr20100044056b1,,,EE07,ED08,0.994,0.953,4.49,0
missing_label(누락 후보),kr20210171772b1,,,EF06,EF05,0.997,0.945,4.47,1
missing_label(누락 후보),kr20150120340b1,,,ED04,ED02,0.907,0.702,4.36,1
missing_label(누락 후보),kr20200011741b1,,,ND03,EI09,0.952,0.915,4.28,0
missing_label(누락 후보),kr20100139433b1,,,EH07,EF02,0.989,0.581,4.27,0
missing_label(누락 후보),jp2018227641a,,,EG07,EC10,0.994,0.9,4.14,0
missing_label(누락 후보),kr20070083072b1,,,EI12,EI02,0.972,0.88,3.91,1
missing_label(누락 후보),kr20067023649a,,,EE07,EE05,0.977,0.848,3.91,1
missing_label(누락 후보),kr20080030442a,,,EI10 LB20,LB17,0.956,0.719,3.9,1
missing_label(누락 후보),kr20097012239b1,,,NC06,NC10,0.977,0.833,3.82,1
missing_label(누락 후보),kr20130076543a,,,LB07,LC02,0.96,0.778,3.81,0
missing_label(누락 후보),kr20190171379b1,,,EA10 EI08,LB14,0.974,0.57,3.73,0
missing_label(누락 후보),kr20180093219b1,,,EH11,EB03,0.942,0.635,3.57,0
missing_label(누락 후보),kr20220017048b1,,,EA02,EH15,0.97,0.613,3.53,0
missing_label(누락 후보),kr20020014026a,,,ND03,ND08,0.976,0.723,3.51,1
missing_label(누락 후보),kr20150018196b1,,,EH02,EI12,0.962,0.653,3.47,0
missing_label(누락 후보),kr20200111277b1,,,ED11,EC11,0.943,0.898,3.4,0
missing_label(누락 후보),kr20190093763b1,,,EI04,EI11,0.986,0.838,3.08,1
missing_label(누락 후보),kr20100115551b1,,,LC09,LC06,0.959,0.717,3.08,1
missing_label(누락 후보),kr20110107922a,,,ND08 ND09,EF07,0.94,0.63,3.05,0
missing_label(누락 후보),kr20057016655a,,,EH14,EH13,0.905,0.637,3.03,1
missing_label(누락 후보),kr20180089959b1,,,LB09,LB20,0.985,0.953,2.98,1
missing_label(누락 후보),kr20140015388b1,,,ED07,ED11,0.966,0.911,2.82,1
missing_label(누락 후보),kr20090005674a,,,ND09,ND10,0.994,0.931,2.77,1
missing_label(누락 후보),kr20160180895a,,,EI07,ED11,0.963,0.801,2.74,0
missing_label(누락 후보),kr20100081660b1,,,ND02,EI03,0.999,0.956,2.67,0
missing_label(누락 후보),kr20120030815b1,,,NC10,NC01,0.985,0.539,2.63,1
missing_label(누락 후보),kr20140068643b1,,,EI11,EA10,0.991,0.513,2.59,0
missing_label(누락 후보),kr20140036993b1,,,ED07,ND07,0.906,0.684,2.28,0
missing_label(누락 후보),kr20060009990b1,,,EH02,EI09,0.918,0.697,2.26,0
missing_label(누락 후보),kr20060030345b1,,,EH02,EI09,0.993,0.919,2.26,0
missing_label(누락 후보),kr20210031244a,,,EH02 EI03,EI09,0.964,0.508,2.26,0
missing_label(누락 후보),kr20130047569b1,,,LA08 LA10,EH02,0.981,0.714,2.21,0
missing_label(누락 후보),kr20140093502b1,,,EA10 EH06,ND11,0.999,0.916,2.2,0
missing_label(누락 후보),kr20100133192b1,,,NC10,NC05,0.902,0.752,2.14,1
missing_label(누락 후보),kr20080037799b1,,,EH04,ND03,0.933,0.87,2.11,0
missing_label(누락 후보),kr20070070940b1,,,ND03,EH04,0.933,0.757,2.11,0
missing_label(누락 후보),kr20210013035a,,,NC06,LA08,0.976,0.769,2.07,0
missing_label(누락 후보),kr20030099770b1,,,ED01,EB04,0.941,0.805,2.06,0
missing_label(누락 후보),kr20037012284b1,,,EB01,EC01,0.916,0.876,2.05,0
missing_label(누락 후보),kr20090003356b1,,,EH08 EH13 LC15 NC09,EA06,0.957,0.528,2.04,0
missing_label(누락 후보),kr20120056089b1,,,EC04,NC10,0.969,0.796,1.99,0
missing_label(누락 후보),kr20020035177b1,,,EB08,EB02,0.974,0.946,1.96,1
missing_label(누락 후보),kr20190064534b1,,,EB08,EB02,0.991,0.899,1.96,1
missing_label(누락 후보),kr20000046393b1,,,LB10,LB01,0.987,0.909,1.88,1
missing_label(누락 후보),kr20137008891a,,,LC01,LC15,0.992,0.728,1.86,1
missing_label(누락 후보),kr20140055293b1,,,EA11 EB08,EE14,0.903,0.531,1.85,0
missing_label(누락 후보),kr20210158287b1,,,LC03,LB18,0.918,0.638,1.85,0
missing_label(누락 후보),kr20190000383b1,,,EC08,EC09,0.998,0.872,1.83,1
missing_label(누락 후보),kr20180118809a,,,ND02,EF04,0.976,0.764,1.82,0
missing_label(누락 후보),kr20190042146b1,,,ND02,EF04,0.989,0.81,1.82,0
missing_label(누락 후보),kr20180146190b1,,,ND02,EF04,0.98,0.67,1.82,0
missing_label(누락 후보),kr20190049161b1,,,ND02,EF04,0.979,0.567,1.82,0
missing_label(누락 후보),kr20200120493b1,,,ND02,EF04,0.926,0.816,1.82,0
missing_label(누락 후보),kr20140173223b1,,,LC02 LC08,LB13,0.969,0.805,1.72,0
missing_label(누락 후보),kr20180066159b1,,,LA03,OA02,0.994,0.917,1.71,0
missing_label(누락 후보),kr20210047190a,,,EH06,EH13,0.979,0.781,1.65,1
missing_label(누락 후보),kr20097013898a,,,LC14,LC02,0.992,0.91,1.6,1
missing_label(누락 후보),kr20210165546b1,,,LB19,LC12,0.99,0.949,1.59,0
missing_label(누락 후보),kr20190129322b1,,,EB03,NC01,0.956,0.729,1.51,0
missing_label(누락 후보),kr20090082571b1,,,ED03,EF06,0.986,0.677,1.47,0
missing_label(누락 후보),kr20187006471a,,,EF06,ED03,0.903,0.591,1.47,0
missing_label(누락 후보),kr20017010663b1,,,LC01,LC14,0.977,0.886,1.47,1
missing_label(누락 후보),kr20140046881b1,,,LC14,LC01,0.99,0.802,1.47,1
missing_label(누락 후보),kr20160163447b1,,,ND11,ND05,0.949,0.818,1.46,1
missing_label(누락 후보),kr20090003356b1,,,EH08 EH13 LC15 NC09,NC04,0.958,0.854,1.44,1
missing_label(누락 후보),kr20160140981b1,,,EA06 LC15,EC10,0.938,0.659,1.42,0
missing_label(누락 후보),kr20137017616b1,,,EA07,EA09,0.98,0.909,1.4,1
missing_label(누락 후보),kr20150101204b1,,,LA06,NC09,0.967,0.742,1.39,0
missing_label(누락 후보),kr20180038387a,,,EI02 EI03,EA14,0.962,0.844,1.36,0
missing_label(누락 후보),kr20060096571b1,,,EE03,EE10,0.991,0.891,1.32,1
missing_label(누락 후보),kr20020018369b1,,,LA02 LB05,LB16,0.997,0.836,1.32,0
missing_label(누락 후보),kr20140078615b1,,,EH11,EI11,0.931,0.658,1.3,0
